Task_ID,Project_Phase,Start_Date,End_Date,Planned_Duration_Days,Task_Duration_Days,Schedule_Variance_Days,Delay_Flag,Labor_Required,Equipment_Units,Planned_Cost_USD,Material_Cost_USD,Cost_Variance_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Safety_Incident_Count,Incident_Severity,Near_Miss_Count,Safety_Score
T357,Pre-Construction,2024-04-01,2024-05-19,39,48,9,1,12,5,74970.34,96808.39,21838.05,26,High,0.39,0.68,1,2,Minor,0,72.7
T358,MEP,2024-09-02,2024-10-11,30,39,9,1,4,2,37620.49,44534.31,6913.82,16,Medium,0.95,0.29,0,0,None,0,97.3
T359,Closeout & Commissioning,2025-02-03,2025-03-17,38,42,4,1,9,6,28708.95,28558.48,-150.47,2,Low,0.89,0.24,1,1,Moderate,0,76.9
T360,MEP,2024-08-07,2024-09-02,19,26,7,1,6,3,80091.05,80031.03,-60.02,15,Medium,0.77,0.52,3,0,None,2,91.3
T361,Structural,2024-06-05,2024-07-25,40,50,10,1,16,8,31925.34,33299.14,1373.8,4,High,0.59,0.33,4,0,None,4,89.3
T362,MEP,2024-10-02,2024-10-27,17,25,8,1,2,2,28150.18,30638.95,2488.77,15,Medium,0.62,0.6,1,0,None,1,99.5
T363,MEP,2024-08-19,2024-09-12,25,24,-1,0,8,1,26156.67,24018.09,-2138.58,2,Medium,0.98,0.19,0,0,None,2,91.2
T364,MEP,2024-10-21,2024-11-03,11,13,2,1,11,9,12478.59,13838.22,1359.63,19,Low,0.97,0.62,3,0,None,0,95.6
T365,Closeout & Commissioning,2025-02-07,2025-04-08,68,60,-8,0,13,3,24542.87,26389.84,1846.97,14,Medium,0.37,0.33,2,0,None,1,93.3
T366,Structural,2024-07-08,2024-07-15,7,7,0,0,17,1,36182.64,36176.66,-5.98,29,Low,0.85,0.1,3,0,None,0,100.0
T367,Closeout & Commissioning,2025-01-21,2025-03-19,45,57,12,1,8,7,60883.93,67725.43,6841.5,2,Medium,0.36,0.2,1,0,None,2,97.5
T368,Closeout & Commissioning,2025-01-23,2025-02-28,38,36,-2,0,18,5,6569.61,7193.92,624.31,19,Low,0.37,0.85,0,2,Minor,0,65.4
T369,Foundation & Sitework,2024-05-02,2024-06-16,36,45,9,1,18,5,18955.61,21840.19,2884.58,13,Low,0.74,0.79,1,0,None,1,99.3
T370,Pre-Construction,2024-04-15,2024-05-05,19,20,1,1,14,1,76282.68,81093.34,4810.66,15,Low,0.52,0.29,2,0,None,0,98.4
T371,Foundation & Sitework,2024-05-02,2024-07-06,53,65,12,1,15,9,15811.25,15545.27,-265.98,28,Medium,0.95,0.72,2,0,None,2,93.8
T372,Pre-Construction,2024-03-29,2024-04-06,7,8,1,1,6,7,27207.82,34921.87,7714.05,28,Low,0.27,0.59,0,1,Moderate,2,73.3
T373,Foundation & Sitework,2024-04-01,2024-04-17,16,16,0,0,11,8,70521.41,86601.23,16079.82,16,Medium,0.61,0.88,4,1,Moderate,2,67.3
T374,MEP,2024-09-30,2024-10-14,14,14,0,0,13,9,16080.27,16337.61,257.34,27,Medium,0.93,0.4,3,1,Moderate,0,74.7
T375,Pre-Construction,2024-04-15,2024-06-30,75,76,1,1,1,6,9292.37,9190.95,-101.42,23,Low,0.92,0.65,3,1,Moderate,0,70.1
T376,Structural,2024-05-28,2024-08-23,62,87,25,1,6,5,38795.87,48969.26,10173.39,19,Low,0.33,0.15,2,0,None,1,92.8
T377,Finishing & Interiors,2025-01-02,2025-01-17,11,15,4,1,9,6,24785.4,30939.53,6154.13,22,Low,0.49,0.42,1,0,None,0,97.6
T378,Pre-Construction,2024-04-02,2024-06-07,51,66,15,1,8,2,55900.71,56777.43,876.72,17,High,0.7,0.87,1,0,None,1,92.3
T379,Finishing & Interiors,2024-12-23,2025-01-24,24,32,8,1,11,4,66744.91,80576.68,13831.77,17,Medium,0.33,0.53,4,0,None,0,100.0
T380,Structural,2024-07-17,2024-10-12,87,87,0,0,19,3,11464.61,14577.7,3113.09,21,Low,0.97,0.33,1,0,None,0,99.3
T381,Foundation & Sitework,2024-04-09,2024-06-11,47,63,16,1,9,7,58670.18,58489.21,-180.97,13,Low,0.93,0.2,3,0,None,4,88.5
T382,MEP,2024-08-26,2024-11-20,91,86,-5,0,17,9,56536.26,51045.37,-5490.89,17,Medium,0.33,0.66,1,3,Minor,5,36.7
T383,MEP,2024-09-09,2024-10-30,46,51,5,1,12,5,15238.38,15263.8,25.42,14,High,0.3,0.62,4,3,Minor,4,41.0
T384,Finishing & Interiors,2024-12-02,2024-12-27,26,25,-1,0,14,6,62847.94,62775.85,-72.09,14,High,0.27,0.4,3,2,Minor,0,71.6
T385,Finishing & Interiors,2024-10-14,2024-12-11,42,58,16,1,15,2,27567.22,28090.4,523.18,5,Medium,0.93,0.86,1,0,None,0,100.0
T386,Finishing & Interiors,2024-12-25,2025-02-26,62,63,1,1,16,3,40887.16,49295.6,8408.44,26,Low,0.35,0.12,3,0,None,0,95.5
T387,Structural,2024-08-19,2024-10-20,65,62,-3,0,1,3,8991.85,9144.96,153.11,14,Low,0.53,0.34,2,1,Minor,5,73.9
T388,Foundation & Sitework,2024-05-23,2024-06-14,20,22,2,1,10,9,40653.77,46498.82,5845.05,17,Low,0.56,0.84,2,0,None,1,97.8
T389,Finishing & Interiors,2025-01-06,2025-03-05,53,58,5,1,8,7,28381.89,31339.88,2957.99,3,Low,0.68,0.36,2,0,None,0,100.0
T390,Finishing & Interiors,2024-11-22,2025-01-19,58,58,0,0,18,8,82565.5,82415.74,-149.76,22,Low,0.26,0.3,1,0,None,0,100.0
T391,Closeout & Commissioning,2025-02-05,2025-05-02,60,86,26,1,1,9,6543.51,6640.89,97.38,7,Low,0.38,0.53,4,0,None,2,89.7
T392,Structural,2024-08-02,2024-09-20,36,49,13,1,2,6,34710.8,42442.12,7731.32,14,Low,0.95,0.76,3,0,None,0,95.9
T393,Structural,2024-06-04,2024-07-26,40,52,12,1,1,4,52201.42,46384.71,-5816.71,2,High,0.93,0.18,0,0,None,0,100.0
T394,Finishing & Interiors,2024-11-04,2024-12-16,32,42,10,1,1,1,67976.92,72775.6,4798.68,29,Medium,0.83,0.85,2,0,None,0,98.4
T395,Structural,2024-06-13,2024-08-22,56,70,14,1,9,8,54791.14,57854.47,3063.33,14,High,0.22,0.74,2,0,None,1,100.0
T396,Closeout & Commissioning,2025-01-03,2025-01-18,10,15,5,1,13,7,62895.77,67054.02,4158.25,12,Medium,0.46,0.25,0,1,Moderate,1,71.1
T397,Finishing & Interiors,2024-11-25,2025-01-18,44,54,10,1,1,2,79103.43,77927.88,-1175.55,8,Low,0.7,0.67,0,0,None,1,93.4
T398,Structural,2024-07-04,2024-09-02,51,60,9,1,13,8,86455.46,86358.09,-97.37,1,Medium,0.42,0.41,1,0,None,5,87.1
T399,Finishing & Interiors,2024-12-25,2025-01-02,8,8,0,0,7,5,27814.37,32073.67,4259.3,23,Low,0.93,0.42,3,0,None,0,97.9
T400,Finishing & Interiors,2024-10-21,2024-12-13,39,53,14,1,2,7,53410.59,54264.25,853.66,7,Medium,0.71,0.73,2,0,None,2,94.3
T401,Foundation & Sitework,2024-05-20,2024-07-19,69,60,-9,0,6,4,69617.39,84170.7,14553.31,28,Low,0.26,0.87,4,0,None,2,96.0
T402,Closeout & Commissioning,2025-02-07,2025-02-12,4,5,1,1,7,5,100412.29,98955.66,-1456.63,29,High,0.93,0.2,1,1,Minor,0,89.0
T403,MEP,2024-08-12,2024-10-19,64,68,4,1,14,8,70163.29,89062.41,18899.12,19,Low,0.97,0.44,1,0,None,0,100.0
T404,Finishing & Interiors,2025-01-01,2025-01-07,4,6,2,1,18,1,31439.14,37775.26,6336.12,16,Low,0.26,0.48,4,0,None,0,100.0
T405,Structural,2024-08-05,2024-09-21,44,47,3,1,15,1,21114.71,20321.49,-793.22,12,High,0.63,0.4,4,3,Serious,0,31.8
T406,Finishing & Interiors,2024-10-29,2024-12-23,42,55,13,1,2,4,46743.6,49449.86,2706.26,0,Low,0.44,0.39,4,0,None,0,100.0
T407,Structural,2024-05-27,2024-07-06,28,40,12,1,10,3,71382.49,74422.5,3040.01,1,Medium,0.51,0.14,0,0,None,0,98.0
T408,Pre-Construction,2024-04-09,2024-05-31,43,52,9,1,12,2,49281.58,49764.34,482.76,29,Medium,0.34,0.65,2,0,None,0,95.0
T409,Closeout & Commissioning,2025-01-30,2025-02-15,14,16,2,1,17,3,51094.96,48834.91,-2260.05,14,High,0.66,0.45,0,0,None,0,97.7
T410,Foundation & Sitework,2024-05-07,2024-05-20,13,13,0,0,8,1,76660.45,83984.81,7324.36,11,High,0.97,0.26,2,0,None,1,94.2
T411,Structural,2024-08-15,2024-09-14,24,30,6,1,11,1,32559.95,36778.97,4219.02,13,High,0.6,0.75,0,0,None,2,95.6
T412,Closeout & Commissioning,2025-01-17,2025-02-05,14,19,5,1,3,6,65670.02,86119.67,20449.65,24,Low,0.27,0.74,3,0,None,0,100.0
T413,Closeout & Commissioning,2025-01-13,2025-01-30,16,17,1,1,6,5,34493.13,41273.68,6780.55,28,High,0.7,0.49,2,0,None,5,85.9
T414,MEP,2024-10-07,2024-12-09,44,63,19,1,9,8,26337.37,33495.08,7157.71,1,Medium,0.47,0.34,1,0,None,0,95.2
T415,MEP,2024-10-15,2024-11-03,17,19,2,1,6,2,46331.58,45945.0,-386.58,17,Medium,0.88,0.61,2,0,None,0,100.0
T416,Structural,2024-07-26,2024-09-22,65,58,-7,0,9,4,79809.26,76482.25,-3327.01,21,Low,0.55,0.33,2,0,None,0,98.2
T417,Structural,2024-06-28,2024-08-22,42,55,13,1,7,8,10888.47,13474.2,2585.73,6,Medium,0.35,0.29,2,0,None,0,100.0
T418,Structural,2024-07-31,2024-10-01,63,62,-1,0,9,6,18594.74,20445.5,1850.76,28,High,0.35,0.68,3,0,None,3,91.6
T419,MEP,2024-09-03,2024-09-26,27,23,-4,0,18,1,78952.75,95193.04,16240.29,22,High,0.82,0.13,0,0,None,3,89.4
T420,Finishing & Interiors,2024-11-04,2024-11-13,6,9,3,1,12,4,16444.22,18373.67,1929.45,28,Low,0.41,0.18,1,0,None,4,84.3
T421,Finishing & Interiors,2024-12-12,2024-12-24,8,12,4,1,8,1,65769.77,57205.0,-8564.77,24,Low,0.81,0.11,0,1,Minor,0,80.9
T422,Finishing & Interiors,2025-01-03,2025-01-04,1,1,0,0,8,2,53218.23,58352.13,5133.9,5,Low,0.36,0.22,0,0,None,2,97.3
T423,Foundation & Sitework,2024-04-24,2024-06-21,42,58,16,1,18,5,44950.57,49472.82,4522.25,13,High,0.46,0.16,4,0,None,0,100.0
T424,MEP,2024-08-08,2024-08-09,1,1,0,0,15,8,65946.6,64829.78,-1116.82,7,Medium,0.57,0.9,3,0,None,0,100.0
T425,Pre-Construction,2024-04-09,2024-05-13,34,34,0,0,7,8,22911.48,23752.85,841.37,26,Low,0.95,0.33,4,0,None,0,96.0
T426,MEP,2024-08-08,2024-09-25,38,48,10,1,11,3,56151.89,55713.56,-438.33,21,Low,0.95,0.22,3,0,None,0,99.0
T427,Structural,2024-08-12,2024-11-09,77,89,12,1,16,4,30670.78,37845.15,7174.37,1,Low,0.37,0.29,0,0,None,1,99.3
T428,Finishing & Interiors,2024-12-30,2024-12-31,1,1,0,0,4,6,67399.9,66505.06,-894.84,16,Low,0.49,0.85,0,0,None,3,93.8
T429,Structural,2024-06-13,2024-06-29,15,16,1,1,6,3,17182.35,14981.13,-2201.22,4,High,0.32,0.52,3,0,None,2,90.2
T430,Foundation & Sitework,2024-06-05,2024-08-05,45,61,16,1,3,2,58611.07,57516.86,-1094.21,13,Medium,0.61,0.39,0,0,None,0,95.0
T431,Foundation & Sitework,2024-05-20,2024-07-23,56,64,8,1,9,6,20073.53,19341.77,-731.76,24,Low,0.57,0.8,0,0,None,0,100.0
T432,Finishing & Interiors,2024-11-15,2025-01-17,50,63,13,1,10,5,22559.67,28585.66,6025.99,23,Medium,0.92,0.42,1,0,None,0,98.6
T433,MEP,2024-10-01,2024-12-09,55,69,14,1,14,5,18751.82,22652.27,3900.45,29,Low,0.94,0.37,4,0,None,0,97.5
T434,Foundation & Sitework,2024-04-29,2024-05-21,16,22,6,1,11,5,19213.51,19100.94,-112.57,28,High,0.51,0.27,4,2,Moderate,3,46.1
T435,Foundation & Sitework,2024-05-06,2024-07-12,48,67,19,1,18,5,81515.29,82745.38,1230.09,19,Low,0.59,0.4,4,0,None,0,100.0
T436,Finishing & Interiors,2024-10-23,2025-01-07,76,76,0,0,12,3,24217.53,29285.05,5067.52,20,Low,0.92,0.35,2,0,None,0,100.0
T437,Pre-Construction,2024-03-04,2024-03-30,23,26,3,1,12,7,69946.52,92785.25,22838.73,28,Low,0.85,0.64,1,0,None,0,100.0
T438,Finishing & Interiors,2024-11-25,2024-12-11,14,16,2,1,13,6,74649.28,97022.73,22373.45,20,Medium,0.2,0.33,4,0,None,1,97.7
T439,Finishing & Interiors,2024-10-22,2024-12-12,46,51,5,1,13,4,50267.85,57554.79,7286.94,21,Medium,0.46,0.56,4,0,None,0,100.0
T440,Foundation & Sitework,2024-05-30,2024-08-24,81,86,5,1,19,2,14569.19,15157.11,587.92,2,Medium,0.54,0.15,1,0,None,3,86.9
T441,Foundation & Sitework,2024-04-15,2024-06-11,58,57,-1,0,19,9,37870.52,38080.28,209.76,4,Low,0.38,0.25,0,0,None,0,100.0
T442,Closeout & Commissioning,2025-01-27,2025-02-25,29,29,0,0,14,1,63036.21,79975.49,16939.28,15,Low,0.36,0.43,4,0,None,4,86.8
T443,Structural,2024-07-22,2024-10-08,79,78,-1,0,4,4,30482.97,37371.68,6888.71,17,Low,0.23,0.85,0,0,None,0,100.0
T444,Structural,2024-08-05,2024-10-13,59,69,10,1,13,1,9599.06,9614.7,15.64,25,Medium,0.71,0.4,4,3,Minor,0,53.9
T445,Finishing & Interiors,2024-11-04,2024-12-21,37,47,10,1,8,6,55122.97,56121.71,998.74,16,Low,0.41,0.63,3,0,None,0,97.4
T446,Closeout & Commissioning,2025-02-03,2025-04-06,53,62,9,1,19,4,91544.23,84666.96,-6877.27,10,Medium,0.24,0.3,2,0,None,0,95.9
T447,Closeout & Commissioning,2025-01-14,2025-03-24,52,69,17,1,12,5,79697.84,79796.71,98.87,16,High,0.38,0.2,4,0,None,2,92.1
T448,Finishing & Interiors,2024-12-23,2025-03-09,64,76,12,1,18,5,14041.11,18337.19,4296.08,15,High,0.84,0.15,3,0,None,0,96.0
T449,Structural,2024-07-22,2024-08-07,16,16,0,0,6,9,67985.22,67603.7,-381.52,25,Low,0.88,0.34,1,0,None,0,96.8
T450,Foundation & Sitework,2024-04-23,2024-06-10,41,48,7,1,18,1,20579.72,22829.92,2250.2,22,Low,0.59,0.23,3,1,Moderate,0,79.9
T451,Finishing & Interiors,2024-11-07,2025-01-31,78,85,7,1,19,2,19312.3,22602.55,3290.25,1,Low,0.53,0.24,1,0,None,1,96.4
T452,MEP,2024-11-04,2024-12-13,33,39,6,1,5,6,86013.73,87533.11,1519.38,3,Medium,0.98,0.71,4,0,None,3,91.3
T453,Structural,2024-06-03,2024-07-06,25,33,8,1,9,5,29490.16,25717.23,-3772.93,20,High,0.36,0.11,1,0,None,1,100.0
T454,Closeout & Commissioning,2025-02-17,2025-03-12,21,23,2,1,3,7,24106.02,27061.49,2955.47,6,Low,0.37,0.55,3,0,None,0,100.0
T455,Foundation & Sitework,2024-05-06,2024-05-16,10,10,0,0,10,3,920.82,1064.69,143.87,1,Low,0.43,0.4,2,0,None,5,85.8
T456,MEP,2024-10-07,2024-12-15,69,69,0,0,19,3,77764.87,87196.23,9431.36,29,High,0.34,0.51,0,0,None,0,100.0
T457,Pre-Construction,2024-03-12,2024-04-15,40,34,-6,0,3,2,65150.72,79466.89,14316.17,5,High,0.5,0.55,0,0,None,0,98.3
T458,MEP,2024-10-03,2024-11-24,39,52,13,1,15,3,52018.48,63105.56,11087.08,16,Low,0.93,0.35,2,0,None,1,95.1
T459,Pre-Construction,2024-04-05,2024-04-15,7,10,3,1,1,1,75924.66,75276.31,-648.35,6,Medium,0.69,0.34,0,1,Moderate,0,74.0
T460,Foundation & Sitework,2024-05-21,2024-06-09,17,19,2,1,7,5,14624.25,16052.81,1428.56,24,Low,0.53,0.69,4,0,None,0,100.0
T461,Foundation & Sitework,2024-05-30,2024-07-27,43,58,15,1,12,5,49521.92,46374.04,-3147.88,4,Low,0.95,0.8,4,0,None,0,100.0
T462,MEP,2024-10-14,2024-10-15,2,1,-1,0,17,7,35234.52,35770.72,536.2,4,High,0.24,0.25,3,0,None,3,89.2
T463,Finishing & Interiors,2024-11-19,2025-01-27,63,69,6,1,5,4,10347.85,10283.88,-63.97,19,High,0.37,0.18,3,1,Minor,0,81.3
T464,MEP,2024-09-04,2024-09-08,3,4,1,1,4,3,48222.59,49126.92,904.33,15,Medium,0.65,0.82,1,1,Minor,0,86.3
T465,Closeout & Commissioning,2025-01-27,2025-02-12,14,16,2,1,12,1,77271.39,92153.23,14881.84,18,Low,0.69,0.38,3,0,None,0,96.3
T466,Structural,2024-07-08,2024-08-01,20,24,4,1,18,8,3866.74,4965.85,1099.11,8,High,0.23,0.54,4,0,None,0,100.0
T467,Structural,2024-07-29,2024-10-17,79,80,1,1,17,3,30321.36,29854.63,-466.73,4,Low,0.52,0.39,3,0,None,0,100.0
T468,Finishing & Interiors,2024-12-10,2024-12-12,1,2,1,1,19,2,21502.63,21546.55,43.92,7,Low,0.72,0.2,0,0,None,2,96.0
T469,Foundation & Sitework,2024-04-15,2024-05-17,26,32,6,1,9,4,24536.51,24576.52,40.01,8,Medium,0.76,0.57,1,0,None,2,96.5
T470,Closeout & Commissioning,2025-01-27,2025-04-21,59,84,25,1,4,3,86667.15,90935.02,4267.87,4,Low,0.71,0.52,1,0,None,0,100.0
T471,Pre-Construction,2024-04-08,2024-05-02,22,24,2,1,2,1,52569.39,47338.84,-5230.55,9,Medium,0.46,0.26,4,0,None,1,97.0
T472,Closeout & Commissioning,2025-02-13,2025-02-25,12,12,0,0,4,3,37227.34,47163.64,9936.3,24,Medium,0.27,0.46,3,0,None,3,93.3
T473,Pre-Construction,2024-03-18,2024-05-07,51,50,-1,0,2,2,80825.87,76296.99,-4528.88,1,Low,0.54,0.74,0,0,None,0,100.0
T474,Finishing & Interiors,2024-10-21,2024-11-25,41,35,-6,0,15,8,17607.37,16294.73,-1312.64,8,Low,0.3,0.57,3,0,None,5,81.9
T475,MEP,2024-08-30,2024-10-02,32,33,1,1,2,6,38675.25,49239.27,10564.02,10,Low,0.96,0.18,2,0,None,0,95.3
T476,Closeout & Commissioning,2025-01-27,2025-03-01,25,33,8,1,4,9,44225.76,43568.54,-657.22,3,Low,0.58,0.54,3,0,None,1,94.8
T477,Pre-Construction,2024-03-25,2024-05-25,61,61,0,0,6,8,55076.32,60094.16,5017.84,21,Medium,0.45,0.66,4,0,None,0,99.4
T478,MEP,2024-09-02,2024-10-23,41,51,10,1,7,3,84850.27,99956.21,15105.94,21,High,0.81,0.73,3,0,None,0,100.0
T479,Closeout & Commissioning,2024-12-26,2025-02-07,38,43,5,1,10,5,71591.91,77175.44,5583.53,21,Low,0.6,0.6,1,0,None,0,100.0
T480,MEP,2024-10-07,2024-10-19,11,12,1,1,19,7,39745.52,40388.7,643.18,1,Low,0.45,0.22,0,0,None,1,94.0
T481,MEP,2024-10-23,2024-12-29,56,67,11,1,19,5,94482.44,82927.75,-11554.69,22,Medium,0.85,0.67,4,0,None,1,93.3
T482,MEP,2024-10-29,2025-01-02,70,65,-5,0,12,8,18129.62,17900.13,-229.49,28,High,0.89,0.64,2,0,None,1,100.0
T483,MEP,2024-10-21,2024-11-23,29,33,4,1,3,5,3223.93,4015.9,791.97,5,Low,0.74,0.12,0,0,None,0,96.1
T484,MEP,2024-10-23,2024-12-02,33,40,7,1,13,1,20857.01,21240.39,383.38,26,Low,0.24,0.43,0,0,None,0,99.8
T485,MEP,2024-09-24,2024-12-07,74,74,0,0,18,5,39255.12,34700.74,-4554.38,13,Medium,0.65,0.37,1,1,Moderate,4,63.9
T486,Closeout & Commissioning,2025-01-31,2025-03-15,43,43,0,0,8,4,45033.45,51547.49,6514.04,0,Low,0.81,0.64,1,0,None,0,100.0
T487,Pre-Construction,2024-04-10,2024-05-24,35,44,9,1,15,6,66297.93,61897.78,-4400.15,17,Low,0.31,0.27,1,0,None,0,95.9
T488,Structural,2024-07-08,2024-08-06,22,29,7,1,1,3,77456.98,91149.97,13692.99,6,Medium,0.38,0.57,4,1,Minor,2,74.6
T489,Closeout & Commissioning,2025-01-28,2025-02-10,11,13,2,1,3,5,50634.14,51475.55,841.41,0,Medium,0.91,0.83,3,0,None,0,96.1
T490,Finishing & Interiors,2024-11-11,2024-11-23,9,12,3,1,8,2,40680.14,50626.29,9946.15,0,Medium,0.22,0.74,0,0,None,0,100.0
T491,MEP,2024-10-25,2024-12-10,41,46,5,1,4,6,5029.35,5974.06,944.71,0,Medium,0.8,0.84,3,0,None,2,94.4
T492,MEP,2024-08-14,2024-08-16,2,2,0,0,16,6,4139.62,4456.24,316.62,23,Medium,0.58,0.88,3,0,None,4,85.3
T493,Structural,2024-07-04,2024-08-08,30,35,5,1,10,5,54871.91,55564.84,692.93,3,Low,0.56,0.11,1,0,None,0,100.0
T494,Foundation & Sitework,2024-04-01,2024-06-27,87,87,0,0,12,6,41249.37,44379.68,3130.31,3,Low,0.21,0.6,3,0,None,0,100.0
T495,MEP,2024-09-12,2024-12-02,64,81,17,1,14,7,80502.1,84078.86,3576.76,28,Low,0.86,0.43,0,1,Minor,0,80.4
T496,Structural,2024-06-17,2024-06-25,6,8,2,1,14,5,16966.66,16907.28,-59.38,17,Low,0.49,0.79,0,1,Minor,0,85.0
T497,MEP,2024-10-08,2024-11-03,26,26,0,0,2,1,3926.5,3472.19,-454.31,26,Medium,0.63,0.3,2,0,None,2,95.9
T498,Pre-Construction,2024-03-18,2024-05-31,65,74,9,1,5,8,43916.21,45454.84,1538.63,10,High,0.74,0.88,4,1,Minor,3,73.5
T499,Closeout & Commissioning,2024-12-26,2025-01-29,32,34,2,1,5,4,23510.82,24510.38,999.56,26,High,0.76,0.59,3,1,Minor,0,83.1
T500,Closeout & Commissioning,2025-01-13,2025-01-20,4,7,3,1,6,9,4989.52,5911.82,922.3,0,Medium,0.96,0.73,4,0,None,0,100.0
T501,MEP,2024-08-14,2024-10-21,73,68,-5,0,13,6,57439.81,72735.23,15295.42,27,Low,0.63,0.17,4,0,None,0,100.0
T502,MEP,2024-10-30,2024-12-27,58,58,0,0,9,1,11964.21,12047.71,83.5,9,Low,0.52,0.25,4,0,None,0,100.0
T503,Structural,2024-07-01,2024-09-14,62,75,13,1,15,3,60855.34,61223.63,368.29,8,High,0.96,0.71,4,0,None,3,91.8
T504,Finishing & Interiors,2024-12-02,2024-12-31,22,29,7,1,14,3,28935.01,28823.93,-111.08,22,Medium,0.71,0.12,0,2,Minor,2,66.3
T505,MEP,2024-09-06,2024-10-12,28,36,8,1,7,4,16534.32,18176.11,1641.79,3,Medium,0.44,0.75,3,0,None,1,95.6
T506,Foundation & Sitework,2024-05-31,2024-08-28,89,89,0,0,2,6,37864.57,38595.4,730.83,27,Medium,0.3,0.11,2,2,Minor,0,71.4
T507,Closeout & Commissioning,2025-01-01,2025-01-22,21,21,0,0,7,7,81099.09,80343.13,-755.96,5,Medium,0.87,0.63,4,0,None,3,90.7
T508,Finishing & Interiors,2024-12-06,2025-01-11,31,36,5,1,6,4,40017.38,39817.26,-200.12,29,High,0.49,0.39,2,1,Minor,1,78.9
T509,Closeout & Commissioning,2025-01-13,2025-01-23,9,10,1,1,17,6,75569.52,75326.2,-243.32,15,Low,0.73,0.59,0,0,None,0,100.0
T510,Finishing & Interiors,2024-12-17,2025-02-28,66,73,7,1,2,1,13552.91,13423.14,-129.77,1,Medium,0.58,0.66,0,0,None,1,97.6
T511,MEP,2024-10-21,2024-11-14,24,24,0,0,3,8,78047.62,77504.37,-543.25,22,High,0.36,0.37,1,1,Serious,0,58.6
T512,Structural,2024-05-27,2024-07-30,64,64,0,0,5,7,22614.98,24456.4,1841.42,17,Low,0.68,0.19,4,0,None,3,95.1
T513,Closeout & Commissioning,2024-12-27,2025-02-14,41,49,8,1,5,9,72982.64,68061.92,-4920.72,9,Medium,0.25,0.16,1,0,None,1,92.2
T514,Finishing & Interiors,2025-01-01,2025-02-06,28,36,8,1,1,3,53720.23,57012.37,3292.14,23,Low,0.53,0.57,2,0,None,0,98.2
T515,Pre-Construction,2024-03-18,2024-06-08,73,82,9,1,8,2,91608.62,92985.33,1376.71,23,High,0.64,0.52,3,0,None,1,92.6
T516,Pre-Construction,2024-04-01,2024-04-25,28,24,-4,0,12,1,32311.51,39344.93,7033.42,16,Low,0.55,0.69,1,0,None,0,100.0
T517,Structural,2024-08-29,2024-09-21,21,23,2,1,4,3,7658.65,7550.35,-108.3,12,Medium,0.8,0.51,0,0,None,3,93.0
T518,Finishing & Interiors,2024-11-05,2025-01-06,62,62,0,0,13,5,2950.0,2896.39,-53.61,23,Low,0.86,0.44,4,1,Minor,0,83.3
T519,Closeout & Commissioning,2025-02-10,2025-03-19,28,37,9,1,15,2,68919.1,82859.0,13939.9,17,Medium,0.82,0.42,2,0,None,0,100.0
T520,Foundation & Sitework,2024-04-17,2024-04-29,9,12,3,1,11,3,49215.82,52948.83,3733.01,21,Low,0.23,0.12,0,0,None,0,99.0
T521,MEP,2024-11-11,2025-01-05,46,55,9,1,10,4,76522.75,77749.16,1226.41,12,Low,0.36,0.37,3,0,None,0,100.0
T522,Structural,2024-06-10,2024-06-23,12,13,1,1,3,7,24511.07,24208.13,-302.94,16,Low,0.63,0.88,4,0,None,0,99.5
T523,Closeout & Commissioning,2025-01-06,2025-01-29,18,23,5,1,14,3,29631.18,35163.29,5532.11,4,High,0.95,0.8,3,1,Serious,5,44.1
T524,Finishing & Interiors,2024-10-24,2025-01-21,88,89,1,1,16,9,3319.46,3980.28,660.82,10,Low,0.87,0.36,3,0,None,2,98.3
T525,Finishing & Interiors,2024-11-11,2024-12-11,24,30,6,1,10,8,97270.67,96187.74,-1082.93,6,Low,0.87,0.57,4,0,None,0,97.5
T526,MEP,2024-09-16,2024-10-03,12,17,5,1,10,4,54720.65,67118.92,12398.27,28,Medium,0.44,0.78,4,0,None,2,90.2
T527,Structural,2024-08-30,2024-10-31,55,62,7,1,12,1,73441.56,93387.3,19945.74,9,Medium,0.54,0.45,3,0,None,0,100.0
T528,Structural,2024-07-26,2024-10-18,97,84,-13,0,9,1,26128.19,27284.14,1155.95,16,High,0.58,0.11,2,1,Minor,1,86.7
T529,Pre-Construction,2024-04-03,2024-07-01,89,89,0,0,1,1,49569.16,61534.9,11965.74,14,Low,0.33,0.16,4,0,None,0,98.8
T530,Finishing & Interiors,2025-01-02,2025-03-29,65,86,21,1,5,1,53365.5,68171.5,14806.0,17,Medium,0.22,0.51,0,0,None,0,95.6
T531,Finishing & Interiors,2024-12-25,2025-01-07,14,13,-1,0,8,8,29422.37,32437.42,3015.05,22,Low,0.96,0.88,1,2,Minor,0,68.4
T532,Closeout & Commissioning,2025-01-01,2025-03-01,46,59,13,1,11,3,70442.8,84962.81,14520.01,21,Low,0.39,0.65,2,0,None,0,100.0
T533,Closeout & Commissioning,2024-12-30,2025-01-18,15,19,4,1,12,6,85375.89,94768.98,9393.09,18,Medium,0.39,0.16,4,0,None,0,96.6
T534,MEP,2024-08-26,2024-10-14,49,49,0,0,1,3,67269.73,88600.66,21330.93,29,Medium,0.27,0.25,4,0,None,0,100.0
